file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/Runner.java,Runner,main/1[java.lang.String[]],false,40,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,addPassengers/1[java.util.List<flight.reservation.Passenger>],false,35,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,"ScheduledFlight/5[int,flight.reservation.Airport,flight.reservation.Airport,flight.reservation.plane.Aircraft,java.util.Date]",true,17,3,1,1,0,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getCapacity/0,false,43,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getCrewMemberCapacity/0,false,31,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getCurrentPrice/0,false,59,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,removePassengers/1[java.util.List<flight.reservation.Passenger>],false,39,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,"ScheduledFlight/6[int,flight.reservation.Airport,flight.reservation.Airport,flight.reservation.plane.Aircraft,java.util.Date,double]",true,24,3,0,0,0,1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getPassengers/0,false,55,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,setCurrentPrice/1[double],false,63,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getAvailableCapacity/0,false,47,1,2,1,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,getDepartureTime/0,false,51,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/OrderValidator.java,flight.reservation.order.OrderValidator,setNext/1[flight.reservation.order.OrderValidator],false,11,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/OrderValidator.java,flight.reservation.order.OrderValidator,"check/3[flight.reservation.Customer,java.util.List<java.lang.String>,java.util.List<flight.reservation.flight.ScheduledFlight>]",false,26,2,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1028,0,false
