Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
java,flight.reservation.order,PassengerNoFlyListValidator,0,0,1,0,5,1,0,1,-1.0,0,2
java,flight.reservation.order,Order,5,0,10,10,37,10,1,0,0.5,0,1
java,flight.reservation.order,FlightOrder,2,0,4,4,23,6,0,1,0.75,4,1
java,flight.reservation.order,OrderValidator,1,0,3,2,17,5,3,0,0.0,2,2
java,flight.reservation.order,CapacityValidator,0,0,1,0,5,1,0,1,-1.0,0,1
java,flight.reservation.order,CustomerNoFlyListValidator,0,0,1,0,5,1,0,1,-1.0,0,2
java,flight.reservation.order,FlightOrderBuilder,4,0,5,5,32,6,0,0,0.0,0,2
java,flight.reservation,Customer,3,0,8,8,40,9,0,0,0.0,6,2
java,flight.reservation,Passenger,1,0,2,2,9,2,0,0,0.0,0,0
java,flight.reservation,Airport,5,0,8,8,37,8,0,0,0.25,2,0
java,flight.reservation.payment,PaypalStrategy,2,0,2,2,17,3,0,1,0.0,0,1
java,flight.reservation.payment,CreditCardStrategy,1,0,2,2,21,4,0,1,0.0,0,1
java,flight.reservation.payment,CreditCard,5,0,5,5,29,5,0,0,0.0,1,0
java,flight.reservation.payment,PaymentStrategy,0,0,1,0,3,1,2,0,-1.0,1,0
java,flight.reservation.payment,Paypal,1,1,0,0,7,0,0,0,-1.0,1,0
java,flight.reservation.flight,Schedule,2,0,10,9,50,15,0,0,0.0,1,3
java,flight.reservation.flight,ScheduledFlight,3,0,11,11,43,11,0,1,0.18181818181818182,2,2
java,flight.reservation.flight,Observer,0,0,1,0,3,1,0,0,-1.0,1,1
java,flight.reservation.flight,Flight,4,0,8,6,36,9,1,0,0.0,1,2
java,flight.reservation.plane,Aircraft,0,0,3,0,5,3,3,0,-1.0,2,0
java,flight.reservation.plane,HelicopterAdapter,1,0,4,4,15,4,0,1,0.5,0,1
java,flight.reservation.plane,PassengerPlaneAdapter,1,0,4,4,15,4,0,1,0.0,0,1
java,flight.reservation.plane,AircraftFactory,0,0,1,1,14,4,0,0,-1.0,0,0
java,flight.reservation.plane,PassengerPlane,3,3,1,1,28,5,0,0,0.0,1,0
java,flight.reservation.plane,PassengerDrone,1,0,1,1,11,2,0,0,0.0,1,0
java,flight.reservation.plane,PassengerDroneAdapter,1,0,4,4,15,4,0,1,1.0,0,1
java,flight.reservation.plane,Helicopter,2,0,3,3,22,5,0,0,0.0,1,0
java,(default package),Runner,4,0,1,1,8,1,0,0,0.0,0,1
